"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer","last_obs"
"   433 Eros (A898 PA)",Y,N,1.458181334135072,.2226906033843441,10.8277255953075,304.2743443730555,178.9102909699136,86.66755145250509,16.84,34.4x11.2x11.2,5.27,4.463e-04,.5597405522715084,2460600.5,.15023,1.7608627414393,Giorgini,2021-05-13
"   719 Albert (A911 TB)",Y,N,2.636157147539425,.5467795398304031,11.57525888751013,183.8571590019408,156.2155261769503,148.4506773209914,,,5.801,,.2302751796962134,2460600.5,.201378,4.28021067953492,"Otto Matic",2024-02-15
"   887 Alinda (A918 AA)",Y,N,2.472525000307552,.5710932670888866,9.398803140579039,110.4230063915311,350.4742461158402,340.1984301890022,4.2,,28.41,,.2535087982861099,2460600.5,.0805238,3.88793718415713,"Otto Matic",2024-09-29
"  1036 Ganymed (A924 UB)",Y,N,2.665298760372779,.5328259253967302,26.68673090115444,215.4949774297022,132.496144532555,6.98496452006396,37.675,,10.297,,.2265088775370633,2460600.5,.344742,4.35138037009733,"Otto Matic",2024-09-29
"  1221 Amor (1932 EA1)",Y,N,1.920153887199105,.4347181841117018,11.8684818991409,171.2608112276811,26.71760451877877,271.7008006406135,1.0,,,,.3704247702173888,2460600.5,.110666,2.66080014786573,"Otto Matic",2023-10-11
"  1566 Icarus (1949 MA)",Y,Y,1.07804000683721,.8269521475242672,22.80351024536095,87.95309627755429,31.43364433510509,160.8608829324126,1.0,,2.2726,,.8805454082166947,2460600.5,.0342147,1.11933612301003,"Otto Matic",2024-08-01
"  1580 Betulia (1950 KA)",Y,N,2.195071506885541,.487560093839145,52.1884219792576,62.2276307683012,159.729560299197,319.0329418523195,5.8,,6.1324,,.3030617071215377,2460600.5,.135879,3.25222969516333,"Otto Matic",2024-09-28
"  1620 Geographos (1951 RA)",Y,Y,1.24562787745437,.335621681427412,13.33590217764326,337.1497817435668,277.0069527512796,289.3592723810798,2.56,5.0x2.0x2.1,5.22204,,.7089597751828781,2460600.5,.0299635,1.39024288523748,"Otto Matic",2024-01-27
"  1627 Ivar (1929 SH)",Y,N,1.863384844539243,.3969628543096672,8.454079284132391,133.076856921743,167.8426866392379,156.4100680749071,9.12,,4.795,,.3874808426437164,2460600.5,.11195,2.54367745420082,"Otto Matic",2024-09-23
"  1685 Toro (1948 OA)",Y,N,1.367917594859341,.4360801269858126,9.381627488724899,274.2099731979073,127.2720216158619,196.2647301428124,3.4,,10.1995,,.6160474586470656,2460600.5,.0504424,1.59991940480063,"Otto Matic",2024-07-28
"  1862 Apollo (1932 HA)",Y,Y,1.470612082034263,.5598715965109902,6.352454347151728,35.55648326281653,286.0329799312636,252.868692344222,1.5,,3.065,,.5526585323941228,2460600.5,.0259785,1.78342724412091,"Otto Matic",2024-02-24
"  1863 Antinous (1948 EA)",Y,N,2.261464898091422,.606271498416921,18.34949143749587,345.9970309608836,268.5697015027924,173.8307586415045,2.1,,7.453,,.2898139574094734,2460600.5,.186605,3.40089308388616,"Otto Matic",2023-12-30
