"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer"
"    1P/Halley",Y,,17.93,0.9679,162.20,59.07,112.21,274.81,11.0,14.9x8.2,,,0.01298,2439907.5,0.0745,75.9,"Davide Farnocchia"
"    2P/Encke",Y,,2.22,0.8484,11.48,334.29,187.03,219.12,4.8,,11.083,,0.2981,2459766.5,0.168,3.31,"Davide Farnocchia"
"    3D/Biela",Y,,3.535,0.7513,13.22,250.67,221.66,0.95,,,,,0.1483,2390520.5,0.000518,6.65,Marsden
"    5D/Brorsen",Y,,3.101,0.8098,29.38,102.97,14.95,0.17,,,,,0.1805,2407440.5,0.367,5.46,Landgraf
"    7P/Pons-Winnecke",Y,,3.419,0.6376,22.33,93.42,172.51,13.17,5.2,,,,0.1559,2457137.5,0.226,6.32,"Davide Farnocchia"
"    8P/Tuttle",Y,,5.7,0.8198,54.98,270.34,207.51,15.13,4.5,,,,0.07242,2454701.5,0.0953,13.6,"Davide Farnocchia"
"   12P/Pons-Brooks",Y,,17.18,0.9546,74.19,255.86,198.99,357.07,,,,,0.01384,2460209.5,0.18,71.2,"Davide Farnocchia"
"   13P/Olbers",Y,,16.66,0.9298,44.63,85.84,64.58,337.34,,,,,0.01449,2458928.5,0.468,68,"Davide Farnocchia"
"   15P/Finlay",Y,,3.49,0.7202,6.80,13.75,347.63,46.69,,,,,0.1511,2457327.5,0.00923,6.52,"Davide Farnocchia"
"   18D/Perrine-Mrkos",Y,,3.56,0.6426,17.76,240.88,166.05,11.51,,,,,0.1468,2440240.5,0.289,6.72,"M.S.W. Keesey"
"   20D/Westphal",Y,,15.64,0.9198,40.89,348.01,57.08,359.72,,,,,0.01593,2420080.5,0.468,61.9,"M.S.W. Keesey"
"   21P/Giacobini-Zinner",Y,,3.5,0.7105,32.00,195.40,172.81,313.91,2.0,,,,0.1505,2458065.5,0.0179,6.55,"Shantanu Naidu"
"   23P/Brorsen-Metcalf",Y,,17.07,0.9720,19.33,311.59,129.61,0.27,,,,,0.01398,2447800.5,0.194,70.5,"M.S.W. Keesey"
"   24P/Schaumasse",Y,,4.086,0.7048,11.73,79.67,58.00,273.65,2.6,,,,0.1193,2457350.5,0.283,8.26,"Shantanu Naidu"
"   26P/Grigg-Skjellerup",Y,,3.027,0.6391,22.47,211.66,1.80,261.15,2.6,,,,0.1872,2455951.5,0.0868,5.27,"Davide Farnocchia"
"   27P/Crommelin",Y,,9.093,0.9193,29.22,250.96,195.96,241.87,,,,,0.03594,2452489.5,0.229,27.4,"Davide Farnocchia"
"   34D/Gale",Y,,4.944,0.7607,11.73,67.92,209.16,1.12,,,,,0.08967,2429080.5,,11,Marsden
"   35P/Herschel-Rigollet",Y,,28.84,0.9740,64.21,355.98,29.30,359.97,,,,,0.006363,2429480.5,,155,Marsden
"   41P/Tuttle-Giacobini-Kresak",Y,,3.085,0.6613,9.23,141.06,62.17,0.23,1.4,,,,0.1819,2457857.5,0.134,5.42,"Davide Farnocchia"
"   45P/Honda-Mrkos-Pajdusakova",Y,,3.026,0.8240,4.25,88.93,326.34,42.26,1.6,,,,0.1872,2457979.5,0.0604,5.26,"Davide Farnocchia"
"   46P/Wirtanen",Y,,3.093,0.6588,11.75,82.16,356.34,0.01,1.2,,,,0.1812,2458465.5,0.0713,5.44,"Davide Farnocchia"
"   55P/Tempel-Tuttle",Y,,10.34,0.9056,162.49,235.27,172.50,4.98,3.6,,,,0.02965,2451040.5,0.00848,33.2,"M.S.W. Keesey"
"   66P/du Toit",Y,,6.023,0.7866,18.67,22.00,257.34,273.48,,,,,0.06668,2456961.5,0.438,14.8,"Davide Farnocchia"
"   67P/Churyumov-Gerasimenko",Y,,3.462,0.6409,7.04,50.14,12.80,8.86,3.4,,12.76129,662.2e-9,0.153,2457305.5,0.257,6.44,"Davide Farnocchia"
"   72P/Denning-Fujikawa",Y,,4.347,0.8205,9.23,35.44,338.47,47.38,,,,,0.1087,2457286.5,0.0882,9.06,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3",Y,,3.091,0.6855,11.24,69.66,199.39,354.77,,,,,0.1813,2457800.5,0.0144,5.44,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-A",Y,,3.067,0.6957,11.42,69.94,198.83,17.81,,,,,0.1835,2450080.5,0.0446,5.37,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-B",Y,,3.062,0.6933,11.40,69.89,198.80,357.44,,,,,0.184,2453880.5,0.0407,5.36,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-C",Y,,3.063,0.6922,11.38,69.84,198.87,23.73,,,,,0.1838,2455980.5,0.0384,5.36,"Alan B. Chamberlin"
"   73P/Schwassmann-Wachmann 3-E",Y,,3.062,0.6939,11.41,69.92,198.77,356.79,,,,,0.1839,2451920.5,0.041,5.36,"M.S.W. Keesey"
"   73P/Schwassmann-Wachmann 3-G",Y,,3.063,0.6934,11.39,69.91,198.77,349.87,,,,,0.1838,2453839.5,0.0405,5.36,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-H",Y,,3.065,0.6936,11.39,69.91,198.77,349.85,,,,,0.1837,2453839.5,0.0406,5.37,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-J",Y,,3.044,0.6915,11.38,69.83,198.87,345.31,,,,,0.1856,2453815.5,0.0407,5.31,"Otto Matic"
"   73P/Schwassmann-Wachmann 3-K",Y,,3.064,0.6935,11.39,69.90,198.79,349.85,,,,,0.1837,2453839.5,0.0406,5.36,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-L",Y,,3.076,0.6947,11.40,69.94,198.75,349.89,,,,,0.1827,2453839.5,0.0407,5.4,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-M",Y,,3.068,0.6939,11.39,69.91,198.78,349.87,,,,,0.1834,2453839.5,0.0406,5.37,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-N",Y,,3.052,0.6923,11.38,69.90,198.76,349.79,,,,,0.1848,2453839.5,0.0405,5.33,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-P",Y,,3.085,0.6956,11.41,69.96,198.72,350.02,,,,,0.1819,2453839.5,0.0407,5.42,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-Q",Y,,3.118,0.6986,11.42,70.14,198.50,350.21,,,,,0.179,2453839.5,0.0407,5.51,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-R",Y,,3.07,0.6941,11.39,69.91,198.77,349.89,,,,,0.1832,2453839.5,0.0406,5.38,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-S",Y,,3.334,0.6934,11.05,81.99,181.56,350.97,,,,,0.1619,2453839.5,0.00735,6.09,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-T",Y,,3.061,0.6930,11.40,69.89,198.81,88.38,,,,,0.1841,2454375.5,0.0398,5.35,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-U",Y,,3.024,0.6894,11.36,69.83,198.84,349.50,,,,,0.1874,2453839.5,0.0403,5.26,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-V",Y,,3.002,0.6935,11.57,66.63,203.11,346.61,,,,,0.1895,2453824.5,0.0434,5.2,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-W",Y,,3.112,0.6983,11.42,70.04,198.63,349.15,,,,,0.1795,2453834.5,0.0407,5.49,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-X",Y,,3.083,0.6954,11.40,69.94,198.74,349.70,,,,,0.1821,2453838.5,0.0406,5.41,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-Y",Y,,3.332,0.7181,11.55,70.63,198.01,349.21,,,,,0.1621,2453828.5,0.0422,6.08,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-Z",Y,,3.073,0.6934,11.34,70.58,197.91,348.24,,,,,0.1829,2453830.5,0.0402,5.39,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-AA",Y,,2.941,0.6806,11.30,69.57,199.11,349.02,,,,,0.1954,2453839.5,0.0398,5.04,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AB",Y,,3.042,0.6912,11.37,69.86,198.82,352.81,,,,,0.1858,2453856.5,0.0406,5.31,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AC",Y,,3.083,0.6954,11.41,69.93,198.75,352.96,,,,,0.1821,2453856.5,0.0408,5.41,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AD",Y,,3.068,0.6934,11.37,70.22,198.37,349.79,,,,,0.1834,2453839.5,0.0404,5.37,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AE",Y,,3.096,0.6967,11.41,69.97,198.71,349.99,,,,,0.1809,2453839.5,0.0408,5.45,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AF",Y,,2.908,0.6763,11.24,69.85,198.72,349.26,,,,,0.1988,2453839.5,0.0394,4.96,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AG",Y,,3.087,0.6958,11.41,69.96,198.71,349.82,,,,,0.1817,2453839.5,0.0408,5.42,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AH",Y,,3.075,0.6934,11.33,70.71,197.74,349.83,,,,,0.1828,2453839.5,0.0402,5.39,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AI",Y,,3.111,0.6982,11.43,69.97,198.73,349.45,,,,,0.1797,2453836.5,0.0407,5.49,"Otto Matic"
"   73P/Schwassmann-Wachmann 3-AJ",Y,,2.786,0.6624,11.14,69.39,199.21,346.88,,,,,0.2119,2453833.5,0.0387,4.65,Giorgini
"   73P/Schwassmann-Wachmann 3-AK",Y,,3.058,0.6934,11.43,69.38,199.33,349.79,,,,,0.1843,2453839.5,0.0403,5.35,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AL",Y,,3.128,0.6998,11.44,69.98,198.72,350.13,,,,,0.1782,2453839.5,0.0409,5.53,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AM",Y,,3.036,0.6934,11.54,68.12,201.09,349.71,,,,,0.1863,2453839.5,0.0409,5.29,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AN",Y,,3.076,0.6948,11.41,69.89,198.80,349.90,,,,,0.1827,2453839.5,0.0406,5.4,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AO",Y,,3.072,0.6938,11.33,70.39,198.17,349.96,,,,,0.183,2453839.5,0.0407,5.38,"Nick Mastrodemos"
