"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer"
"  1566 Icarus (1949 MA)",Y,Y,1.078,0.8270,22.80,87.95,31.43,160.86,1.0,,2.2726,,0.8805,2460600.5,0.0342,1.12,"Otto Matic"
"  1620 Geographos (1951 RA)",Y,Y,1.246,0.3356,13.34,337.15,277.01,289.36,2.56,5.0x2.0x2.1,5.22204,,0.709,2460600.5,0.03,1.39,"Otto Matic"
"  1862 Apollo (1932 HA)",Y,Y,1.471,0.5599,6.35,35.56,286.03,252.87,1.5,,3.065,,0.5527,2460600.5,0.026,1.78,"Otto Matic"
"  1981 Midas (1973 EA)",Y,Y,1.776,0.6505,39.82,356.80,267.84,258.81,3.4,,5.22,,0.4163,2460600.5,0.00488,2.37,"Otto Matic"
"  2101 Adonis (1936 CA)",Y,Y,1.874,0.7642,1.32,349.43,43.69,230.82,0.6,,,,0.3842,2460600.5,0.0116,2.57,"Otto Matic"
"  2102 Tantalus (1975 YA)",Y,Y,1.29,0.2993,64.00,94.35,61.52,78.27,1.649,,2.384,,0.6726,2460600.5,0.0436,1.47,"Otto Matic"
"  2135 Aristaeus (1977 HA)",Y,Y,1.6,0.5030,23.07,191.11,290.97,202.31,,,,,0.4871,2460600.5,0.011,2.02,"Otto Matic"
"  2201 Oljato (1947 XC)",Y,Y,2.179,0.7107,2.52,74.87,98.37,334.42,1.80,,26,,0.3065,2460600.5,0.00259,3.22,"Otto Matic"
"  2340 Hathor (1976 UA)",Y,Y,0.8438,0.4500,5.86,211.29,40.10,53.40,0.3,,3.35,,1.272,2460600.5,0.00669,0.775,Giorgini
"  3122 Florence (1981 ET3)",Y,Y,1.769,0.4231,22.14,336.05,27.90,0.67,4.9,,2.3581,,0.4189,2460600.5,0.0449,2.35,"Otto Matic"
"  3200 Phaethon (1983 TB)",Y,Y,1.271,0.8898,22.31,265.10,322.31,248.98,6.25,,3.604,,0.6875,2460600.5,0.0187,1.43,"Otto Matic"
"  3361 Orpheus (1982 HR)",Y,Y,1.21,0.3229,2.66,188.68,302.34,24.54,0.3,,3.5327,,0.7401,2460600.5,0.0138,1.33,"Otto Matic"
"  3362 Khufu (1984 QA)",Y,Y,0.9895,0.4685,9.92,152.40,55.09,359.85,0.7,,,,1.001,2460600.5,0.0133,0.984,"Otto Matic"
"  3671 Dionysus (1984 KD)",Y,Y,2.2,0.5420,13.54,82.05,204.33,131.35,1.5,,2.7053,,0.302,2460600.5,0.022,3.26,"Otto Matic"
"  3757 Anagolay (1982 XB)",Y,Y,1.834,0.4459,3.87,74.93,17.24,293.70,0.5,,9.012,,0.3967,2460600.5,0.0372,2.48,"Otto Matic"
